title,company,location,salary,job_type,description,posted_date
STORE KEPPER,HONDA MOTORS INDIA PRIVATE LIMITED,"Kolkata - Howrah, South 24 Parganas, Hooghly, Kolkatta G.p.o. + 1 more","18,500 - 45,000",Full Time Jobs,Office Assistant/Helper,"22 Apr 2025, 11:11 AM"
WANTED OFFICE ASSISTANT,Not mentioned,Thoothukudi - Sivagnanapuram,"18,000 - 25,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","22 Apr 2025, 10:13 AM"
Edr private limited,Not mentioned,Chennai - Koyambedu,"18,500 - 28,500",Full Time Jobs,"Office Assistant/Helper - Clerk, Pantry Boy","22 Apr 2025, 12:54 AM"
urgent job vacancy in Chennai,Not mentioned,"Vellore - Ambur, Arakkonam, Anna Nagar, Ariyur + 1 more","17,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 11:24 PM"
JOB WANTED,Not mentioned,Chennai - Thiruvottiyur,"18,000 - 30,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 05:37 PM"
IMMEDIATELY HIRING FOR FRESHERS /OFFICE WORK,Not mentioned,Salem - Ammapet,"20,000 - 40,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 05:00 PM"
New Branch office hiring for Office assistant,Not mentioned,"Chennai - Ambattur, Adyar, Aminjikarai, Alathur + 1 more","20,000 - 25,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 04:07 PM"
JOB VACANCY OPENING FOR CHENNAI,Not mentioned,"Chennai - Ayanambakkam, Ambattur, Arambakkam, Alwarpet + 1 more","18,000 - 30,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 04:06 PM"
Office assistant or personal assistant role for a finance consultancy 09am to 5pm job english knoweldge tally accounts knoweldge,Not mentioned,"Coimbatore - Race Course Road, Teachers Colony, Karamadai","35,000 - 36,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 04:04 PM"
JOB VACANCY FOR ALL OVER CHENNAI!!!,Not mentioned,Chennai - Egmore,"20,000 - 45,000",Part Time Jobs,"Office Assistant/Helper - Front desk, Pantry Boy","21 Apr 2025, 04:02 PM"
job wanted,Not mentioned,Chennai - Maduravoyal,"20,000 - 35,000",Full Time Jobs,Office Assistant/Helper,"21 Apr 2025, 03:57 PM"
URGENT REQUIREMENT FOR MALE CANDIDATE'S,Not mentioned,"Chennai - Guindy, Guduvanchery, Gummidipundi, Besant Nagar + 1 more","17,000 - 35,000",Full Time Jobs,Office Assistant/Helper - Front desk,"21 Apr 2025, 03:57 PM"
OFFICE ASSISTANT EXECUTIVE,Not mentioned,Madurai - Sathamangalam,"18,000 - 25,000",Full Time Jobs,"Office Assistant/Helper - Clerk, Front desk, Inventory Incharge, Pantry Boy","21 Apr 2025, 03:54 PM"
