title,company,location,salary,job_type,description,posted_date
CMS Is Urgently Hiring for Cash Pickup And Drop For ATM,CMS Infosystem Ltd,"Surat - Barbodhan, Budiya, Dhamdod, Green Valley Road + 1 more","12,000 - 16,000",Full Time Jobs,"Delivery/Collections - Grocery-Delivery, Food-Delivery, Courier-Delivery, Other-Delivery/Collection + 4 more","30 Apr 2025, 11:00 AM"
Delivery executive needed urgently,Not mentioned,"Hazaribagh - Barkagaon Road, Hearngunj, Katkamsandi, Pabra","15,000 - 35,000",Full Time Jobs,Delivery/Collections,"30 Apr 2025, 10:16 AM"
Food delivery job in Kotturpuram,MAVE delivery,Chennai - Kotturpuram,"6,000 - 7,000",Full Time Jobs,Delivery/Collections - Food-Delivery,"30 Apr 2025, 09:38 AM"
DELIVERY EXECUTIVE,BLACK SWAN DRESS CARE AND RY CLEANERS,"Palakkad - Chandranagar Colony, Olavakkode, Chakkanthara, Kadamkod + 1 more","10,000 - 16,000",Full Time Jobs,Delivery/Collections,"30 Apr 2025, 07:09 AM"
Gas Delivery Man,Not mentioned,"Chennai - ECR, OMR, Adyar","9,000 - 12,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 08:44 PM"
Drive ecco commercial,Not mentioned,Gurgaon - Acharya Puri Extension,"12,000 - 15,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 02:30 PM"
Looking for Distributor for Premium Idly-Dosa Batter,Not mentioned,"Trivandrum - Balaramapuram, Aryankuzhi, Chenthitta, Attukulangara + 1 more","12,000 - 35,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 12:03 PM"
Delivery Executive,Not mentioned,"Hyderabad - Njr Klr Nagar, Medchal","22,000 - 24,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 11:27 AM"
Delivery Executive,Helixpro,Thrissur - Chalakudy,"9,000 - 10,000",Full Time Jobs,Delivery/Collections - Courier-Delivery,"29 Apr 2025, 11:13 AM"
Delivery man,Not mentioned,"Kannur - Kuthuparamba, Panoor, Mattannur, Anjarakandy + 1 more","35,000 - 44,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 10:22 AM"
Delivery Executive,Not mentioned,"Thane - Kolbad, Khopat, Thane West","6,500 - 7,000",Full Time Jobs,Delivery/Collections,"29 Apr 2025, 09:00 AM"
