title,company,location,salary,job_type,description,posted_date
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Amroha - Bara Darbar, Begum Sara Kalan, Bijnor Moradabad Road, Chevara + 1 more","25,000 - 30,000",Full Time Jobs,Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Auraiya - Narayanpur, Etawah Kanpur Road, Dibiyapur, Dudhiya Khera + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Kannauj - Hardoi road, Kidwai Nagar, Safdarganj, Thakurana Road + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Hathras - Hathras-Mathura Road, Mathura Road, Mursan Gate Road, Sadabad + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Jind - Rani Talab, Sector-8, Sector-7, Sector 7A + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Korba - M P Nagar, SBS Colony, Sharda Vihar, Risid + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Bahraich - Nanpara Road, Huzoorpur, Nawagarhi, Nanpara + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:37 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Pilibhit - Bisalpur, Ekta Nagar, Lieshi Tola, Madhotanda + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:36 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Bijnor - Nai Basti, Noorpur, Saidkheri, Meerut Road Bijnor + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:36 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Murshidabad - Sahapur, Sagardighi, Sarkarpara, Kathgola + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:36 AM"
Rapido Is Hiring Delivery Boy Biker || Salary Upto 30000 ||,ROPPEN TRANSPORTATION SERVICES PVT LTD,"Valsad - Chanvai, Faldhara, Jeshpor, Lilapore + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:36 AM"
"Drive for BluSmart Eco-Friendly Cabs, High Earnings In Delhi",BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Babarpur, Bholanath Nagar Marg, Chanchal Park, Dwarka Sector 15 + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:30 AM"
WANTED DRIVER,Not mentioned,Chennai - Taramani,"53,000 - 60,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:25 AM"
WANTED DRIVER,Not mentioned,Chennai - Chrompet,"53,000 - 60,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:25 AM"
WANTED DRIVER,Not mentioned,Chennai - Ennore,"53,000 - 60,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:25 AM"
WANTED DRIVER,Not mentioned,Chennai - Balavinayagar Nagar,"52,000 - 60,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:25 AM"
Wanted Driver Ola Uber,Wanted Driver Ola Uber Daily Payment Or Monthly Pa,"Bangalore - Annapoorneshwari Nagar, Nagarabhavi, Laggere, Sunkadakatte","20,000 - 25,000",Full Time Jobs,Not mentioned,"28 Apr 2025, 10:23 AM"
Exciting Opportunities for Cab Drivers at Everest Fleet.,Everest Fleet Pvt.Ltd,"Pune - Chinchwad, Bhoslenagar-Khadki, Deccan Gymkhana, Yerawada + 1 more","30,000 - 35,000",Full Time Jobs,Not mentioned,"27 Apr 2025, 11:40 AM"
Driver Leasing Scheme,Everest Fleet Pvt.Ltd,"Chennai - Adyar, Ambattur, Ambattur Industrial Estate, Aminjikarai + 1 more","28,000 - 30,000",Full Time Jobs,Not mentioned,"27 Apr 2025, 11:02 AM"
BluSmart Hiring Electric Cab Drivers Earn Big In Bangalore,BLU-SMART FLEET PRIVATE LIMITED,Bangalore - Full City,"25,000 - 30,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 10:27 PM"
Car driver,Not mentioned,Sikar - Railway Station Road,"20,000 - 21,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 07:43 PM"
Limited Vacancies for Cab Drivers at Everest Fleet,Everest Fleet Pvt.Ltd,"Delhi - Gautam Buddha Nagar, Rohini, Gandhi Nagar, Prem Nagar + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 04:52 PM"
Driver for tata ace,Not mentioned,"Coimbatore - Chinnavedampatti, Gandhimaa Nagar, Ganapathy, Saravanampatti","14,000 - 15,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 03:53 PM"
Join BluSmart as an Electric Vehicle Driver in Delhi,BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Bamnoli, Bhagwati Vihar, Block E, Chattarpur Enclave Phase 1 + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 03:51 PM"
Join BluSmart as an Electric Vehicle Driver in Delhi,BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Jaitpur, Jharoda Kalan, Joshi Colony, Kalu Sarai + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 03:50 PM"
Urgent Hiring For Electric Cab Driver Blu-Smart in Delhi,BLU-SMART FLEET PRIVATE LIMITED,"Delhi - Asha Park, Brij Puri, Dakshinpuri, Ganesh Nagar + 1 more","25,000 - 30,000",Full Time Jobs,Not mentioned,"26 Apr 2025, 03:35 PM"
Driver job,Not mentioned,Mumbai - Chembur East,"35,000 - 45,000",Full Time Jobs,Driver,"26 Apr 2025, 02:41 PM"
Personal driver,Not mentioned,Pune - Viman Nagar,"17,000 - 18,000",Full Time Jobs,Driver - Private-Driver,"26 Apr 2025, 01:59 PM"
BluSmart Hiring 200+ Drivers Apply Now & Start Earning In Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - Budigere Road, Thanisandra, Bagaluru, International Airport Road + 1 more","25,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","26 Apr 2025, 01:51 PM"
Exciting Opportunities for Cab Drivers at Everest Fleet.,Everest Fleet Pvt.Ltd,"Mumbai - Byculla, Worli Naka, Dadar East, Prabhadevi + 1 more","30,000 - 35,000",Full Time Jobs,"Driver - Truck-driver, Taxi-driver, Taxi/Cab","26 Apr 2025, 12:20 PM"
Join BluSmart as an Electric Vehicle Driver in Bangalore,BLU-SMART FLEET PRIVATE LIMITED,"Bangalore - 80 Ft. Road, A Dasarahalli, Achit Nagar, Agara-HSR Layout + 1 more","25,000 - 30,000",Full Time Jobs,"Driver - Company-driver, Private-Driver, Commercial-Transport-Driver, Interstate-Driver + 10 more","26 Apr 2025, 11:33 AM"
